Trade #,Date,Time,Pair,Strategy,Direction,Lots,Entry Price,Exit Price,Stop Loss,Take Profit,Stop (pips),P&L ($),P&L (%),Duration (min),Result,R/R Ratio,Reason Closed,MT5 Ticket
1,2026-06-04,11:28:59,GBPUSDm,Momentum Breakout,LONG,0.5,1.34378,1.34592,1.34305,1.34585,7.3,107.0,0.16,114,WIN,2.84,Target Hit,2811066924
2,2026-06-04,11:27:40,EURUSDm,Momentum Breakout,LONG,0.5,1.16239,1.16423,1.1614,1.1642,9.9,92.0,0.16,118,WIN,1.83,Target Hit,2811062783
3,2026-06-04,13:25:55,XAUUSDm,Trend Continuation,LONG,0.48,4502.7998,4486.982,4479.972,4485.362,228.3,-75.93,-0.0,1,LOSS,0.76,Target Hit,2811527413
4,2026-06-04,13:27:02,BTCUSDm,Trend Continuation,LONG,0.11,62499.62891,62776.13,62431.02,62663.07,68.6,0.3,0.0,4,WIN,2.38,Target Hit,2811543653
5,2026-06-04,13:23:43,US500m,Trend Continuation,LONG,0.01,7536.25,7536.34,7536.72303,7542.13743,4730.3,0.09,0.0,11,WIN,12.45,Stop Hit,2811513950
6,2026-06-04,11:28:59,USDJPYm,Momentum Breakout,LONG,0.5,159.881,159.804,159.807,160.087,7.4,-24.09,-0.0,137,LOSS,2.78,Stop Hit,2811066928
7,2026-06-04,13:48:38,XAUUSDm,Trend Continuation,LONG,0.36,4511.7998,4501.044,4501.179,4508.319,106.2,-38.72,-0.0,0,LOSS,0.33,Stop Hit,2811686765
8,2026-06-04,13:50:58,US500m,Trend Continuation,SHORT,0.01,7529.5,7542.96,7542.20332,7533.2317,127033.2,-13.46,-0.0,3,LOSS,0.29,Stop Hit,2811701975
9,2026-06-04,13:56:07,USDJPYm,Trend Continuation,SHORT,0.5,159.761,159.861,159.839,159.559,7.8,-31.28,-0.0,15,LOSS,2.59,Stop Hit,2811734025
10,2026-06-04,14:12:19,BTCUSDm,Trend Continuation,LONG,0.12,62438.25,62615.75,62394.52,62615.02,43.7,0.21,0.0,3,WIN,4.04,Target Hit,2811864525
11,2026-06-04,13:36:19,GBPUSDm,Momentum Breakout,LONG,0.5,1.3455,1.34464,1.3447,1.3475,8.0,-43.0,-0.06,148,LOSS,2.5,Stop Hit,2811604915
12,2026-06-04,13:31:30,EURUSDm,Momentum Breakout,LONG,0.5,1.16428,1.16306,1.16309,1.16589,11.9,-61.0,-0.1,178,LOSS,1.35,Stop Hit,2811581261
13,2026-06-04,16:31:35,XAUUSDm,Trend Continuation,SHORT,0.29,4514.1001,4476.354,4486.244,4477.179,278.6,109.46,0.0,11,WIN,1.33,Target Hit,2812579862
14,2026-06-04,16:43:50,BTCUSDm,Trend Continuation,SHORT,0.12,63927.85938,63994.89,63979.24,63753.49,51.4,-0.08,-0.0,2,LOSS,3.39,Stop Hit,2812649265
15,2026-06-04,16:46:35,XAUUSDm,Trend Continuation,SHORT,0.32,4508.0,4466.354,4476.278,4468.123,317.2,133.27,0.0,2,WIN,1.26,Target Hit,2812665164
16,2026-06-04,16:51:46,US500m,Trend Continuation,LONG,0.01,7567.75,7571.48,7562.3113,7570.91675,54387.0,3.73,0.0,9,WIN,0.58,Target Hit,2812709165
17,2026-06-04,17:01:49,EURUSDm,Momentum Breakout,LONG,0.5,1.16347,1.16215,1.16216,1.16496,13.1,-66.0,-0.11,131,LOSS,1.14,Stop Hit,2812783566
18,2026-06-04,19:14:55,BTCUSDm,Trend Continuation,SHORT,0.15,63485.62109,63305.82,63563.49,63388.84,77.9,0.27,0.0,1,WIN,1.24,Target Hit,2813226897
19,2026-06-04,19:17:09,XAUUSDm,Trend Continuation,SHORT,0.5,4509.3999,4475.684,4475.637,4472.137,337.6,168.58,0.0,1,WIN,1.1,Stop Hit,2813236873
20,2026-06-04,19:18:16,US500m,Trend Continuation,LONG,0.01,7596.25,7594.38,7594.58239,7598.70403,16676.1,-1.87,-0.0,3,LOSS,1.47,Stop Hit,2813242116
1,2026-06-04,19:32:02,US500m,Trend Continuation,SHORT,0.01,7595.0,7600.82,7600.60649,7596.73377,56064.9,-5.82,-0.0,0,LOSS,0.31,Stop Hit,2813282902
2,2026-06-04,19:34:31,XAUUSDm,Trend Continuation,SHORT,0.5,4503.1001,4476.851,4480.498,4476.998,226.0,131.25,0.0,8,WIN,1.15,Target Hit,2813296559
3,2026-06-04,19:46:38,BTCUSDm,Trend Continuation,SHORT,0.15,62951.44141,63030.95,63024.81,62850.51,73.4,-0.12,-0.0,1,LOSS,1.38,Stop Hit,2813332587
4,2026-06-04,19:50:00,US500m,Trend Continuation,LONG,0.01,7599.25,7605.47,7600.74188,7604.7953,14918.8,6.22,0.0,10,WIN,3.72,Target Hit,2813341440
5,2026-06-04,20:01:32,BTCUSDm,Trend Continuation,LONG,0.1,63424.57031,63354.58,63359.48,63609.03,65.1,-0.07,-0.0,1,LOSS,2.83,Stop Hit,2813373155
6,2026-06-04,20:03:13,US500m,Trend Continuation,LONG,0.01,7601.5,7606.72,7602.99779,7606.61053,14977.9,5.22,0.0,48,WIN,3.41,Target Hit,2813375913
1,2026-06-08,04:12:33,EURUSDm,Trend Continuation,SHORT,0.5,1.15247,1.153,1.15298,1.15058,5.1,-26.5,-0.05,42,LOSS,3.71,Stop Hit,2822597849
2,2026-06-08,04:12:33,USDCHFm,Momentum Breakout,LONG,0.5,0.79784,0.79707,0.79708,0.79948,7.6,-48.61,-0.12,83,LOSS,2.16,Stop Hit,2822597847
3,2026-06-08,04:55:41,AUDUSDm,Momentum Breakout,LONG,0.5,0.70537,0.7043,0.70436,0.70676,10.1,-53.25,-0.15,159,LOSS,1.38,Stop Hit,2822668872
4,2026-06-08,04:12:32,USDJPYm,Momentum Breakout,LONG,0.5,160.35001,160.255,160.281,160.521,6.9,-29.64,-0.0,218,LOSS,2.48,Stop Hit,2822597845
5,2026-06-08,05:36:17,EURUSDm,Momentum Breakout,LONG,0.5,1.15327,1.1522,1.15222,1.15462,10.5,-53.5,-0.09,138,LOSS,1.29,Stop Hit,2822734896
6,2026-06-08,07:35:59,AUDUSDm,Trend Continuation,SHORT,0.5,0.70457,0.70491,0.70485,0.70245,2.8,-16.75,-0.05,93,LOSS,7.57,Stop Hit,2822959400
7,2026-06-08,07:55:42,USDCADm,Momentum Breakout,LONG,0.5,1.39457,1.39384,1.39389,1.39629,6.8,-26.19,-0.04,82,LOSS,2.53,Stop Hit,2823038666
1,2026-06-08,14:49:28,USDCADm,Trend Continuation,SHORT,0.5,1.3926,1.39377,1.39372,1.39132,11.2,-41.97,-0.06,53,LOSS,1.14,Stop Hit,2824852226
2,2026-06-08,14:49:28,AUDUSDm,Trend Continuation,SHORT,0.5,0.70736,0.70547,0.70787,0.70547,5.1,94.75,0.27,76,WIN,3.71,Target Hit,2824852222
3,2026-06-08,14:49:28,USDCHFm,Trend Continuation,SHORT,0.5,0.79583,0.79669,0.79664,0.79424,8.1,-54.28,-0.14,76,LOSS,1.96,Stop Hit,2824852217
4,2026-06-08,15:44:26,USDJPYm,Momentum Breakout,LONG,0.5,159.987,160.159,159.918,160.158,6.9,53.69,0.0,33,WIN,2.48,Target Hit,2825206358
5,2026-06-08,16:18:56,USDCADm,Momentum Breakout,LONG,0.5,1.39471,1.39398,1.39405,1.39645,6.6,-26.18,-0.04,43,LOSS,2.64,Stop Hit,2825454526
6,2026-06-08,17:03:02,AUDUSDm,Momentum Breakout,LONG,0.5,0.70607,0.70542,0.70547,0.70787,6.0,-32.25,-0.09,26,LOSS,3.0,Stop Hit,2825708171
